N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"58,200",400,+0.69%,100,"3,474,413","5,969,783",55.94,"24,765,231",18.57,8.69,
2,SK하이닉스,"81,300",100,-0.12%,"5,000","591,866","728,002",47.82,"3,211,596",37.97,4.25,
3,LG화학,"758,000","38,000",+5.28%,"5,000","535,090","70,592",36.98,"1,079,055",423.94,1.84,
4,삼성바이오로직스,"804,000","33,000",+4.28%,"2,500","531,967","66,165",10.14,"757,043",154.88,4.77,
5,NAVER,"311,500","2,000",-0.64%,100,"511,680","164,263",55.50,"660,233",80.43,10.56,
6,셀트리온,"314,000","1,000",-0.32%,"1,000","423,710","134,939",21.21,"682,657",124.90,11.19,
7,삼성전자우,"50,300",200,+0.40%,100,"413,912","822,887",88.17,"2,094,452",16.05,N/A,
8,현대차,"179,000","9,000",+5.29%,"5,000","382,466","213,668",33.57,"6,705,377",18.97,4.32,
9,삼성SDI,"472,500","1,000",-0.21%,"5,000","324,912","68,765",42.32,"933,120",112.05,2.94,
10,카카오,"352,500","3,500",-0.98%,500,"310,249","88,014",32.46,"745,605",-119.01,-5.81,
11,LG생활건강,"1,573,000","128,000",+8.86%,"5,000","245,674","15,618",45.06,"93,135",35.49,20.32,
12,현대모비스,"239,000","1,000",+0.42%,"5,000","227,181","95,055",44.45,"624,262",10.58,7.28,
13,삼성물산,"110,500","1,000",+0.91%,100,"206,510","186,887",14.57,"734,914",18.82,4.77,
14,SK텔레콤,"237,000","1,000",-0.42%,500,"191,367","80,746",34.51,"527,756",23.33,3.92,
15,기아차,"47,200",850,+1.83%,"5,000","191,331","405,363",39.14,"3,709,884",13.25,6.50,
16,엔씨소프트,"840,000","1,000",-0.12%,500,"184,414","21,954",50.11,"113,078",38.46,14.72,
17,POSCO,"207,000","8,500",+4.28%,"5,000","180,477","87,187",52.65,"653,346",12.12,4.18,
18,SK이노베이션,"187,000","1,000",+0.54%,"5,000","172,911","92,466",24.06,"1,609,442",-9.79,-0.20,
19,SK,"240,500","4,000",-1.64%,200,"169,217","70,360",22.22,"283,437",245.66,4.31,
20,KB금융,"38,800","1,650",+4.44%,"5,000","161,333","415,808",64.88,"4,644,305",5.07,8.92,
21,신한지주,"32,850","2,000",+6.48%,"5,000","156,825","477,397",62.77,"4,986,444",4.73,9.09,
22,LG,"87,300","2,700",-3.00%,"5,000","150,642","172,557",34.97,"820,943",12.59,5.87,
23,SK바이오팜,"191,500","1,000",-0.52%,500,"149,970","78,313",2.29,"541,933",-174.09,-313.66,
24,LG전자,"83,000","2,700",-3.15%,"5,000","135,828","163,648",34.02,"1,678,036",30.89,0.22,
25,한국전력,"21,000","1,550",+7.97%,"5,000","134,812","641,964",17.91,"18,796,399",-8.78,-3.42,
26,넷마블,"150,000","5,000",-3.23%,100,"128,701","85,801",22.96,"657,032",75.38,3.54,
27,삼성에스디에스,"165,500","1,000",+0.61%,500,"128,060","77,378",12.40,"207,475",22.60,11.76,
28,KT&G,"88,100","1,900",+2.20%,"5,000","120,955","137,292",42.87,"718,848",11.45,12.39,
29,삼성생명,"56,300","1,000",+1.81%,500,"112,600","200,000",12.58,"1,777,903",14.82,3.26,
30,삼성전기,"139,000","2,000",-1.42%,"5,000","103,824","74,694",33.21,"495,878",20.88,10.18,
31,아모레퍼시픽,"174,000","6,000",+3.57%,500,"101,718","58,458",30.71,"684,434",64.23,5.36,
32,하나금융지주,"31,250","1,000",+3.31%,"5,000","93,826","300,242",65.05,"3,149,175",3.75,8.77,
33,고려아연,"450,500",500,+0.11%,"5,000","85,009","18,870",23.78,"81,738",13.72,9.76,
34,삼성화재,"174,500","9,000",+5.44%,500,"82,669","47,375",46.76,"234,071",14.96,4.85,
35,S-Oil,"64,000","2,600",+4.23%,"2,500","72,053","112,583",74.82,"1,733,323",-8.04,1.01,
36,CJ제일제당,"443,500","16,500",+3.86%,"5,000","66,765","15,054",21.80,"183,554",13.08,3.16,
37,우리금융지주,"9,050",160,+1.80%,"5,000","65,365","722,268",26.54,"3,502,776",3.50,N/A,
38,롯데케미칼,"190,000",0,0.00%,"5,000","65,123","34,275",29.16,"408,207",15.50,5.51,
39,코웨이,"88,000","8,400",+10.55%,500,"64,944","73,800",60.19,"735,222",19.44,30.74,
40,한국조선해양,"91,700","4,500",+5.16%,"5,000","64,899","70,773",16.79,"770,104",21.86,1.40,
41,KT,"24,750",300,+1.23%,"5,000","64,625","261,112",44.90,"1,991,726",10.84,4.61,
42,미래에셋대우,"9,430",60,-0.63%,"5,000","60,853","645,316",13.09,"8,391,838",12.78,7.56,
43,기업은행,"8,680",280,+3.33%,"5,000","58,718","676,472",13.12,"4,177,768",3.77,7.36,
44,포스코케미칼,"95,600","1,200",-1.24%,500,"58,305","60,988",7.67,"1,014,119",70.76,11.57,
45,한온시스템,"10,900",100,-0.91%,100,"58,184","533,800",20.95,"1,565,927",19.60,14.98,
46,오리온,"145,000","1,500",-1.02%,500,"57,327","39,536",44.10,"100,614",24.15,14.24,
47,LG유플러스,"11,900",300,-2.46%,"5,000","51,957","436,611",32.48,"3,964,016",11.51,6.30,
48,KODEX 200,"32,100",400,+1.26%,0,"51,248","159,650",7.90,"7,721,949",N/A,N/A,
49,한화솔루션,"32,050",950,+3.05%,"5,000","51,237","159,864",19.82,"4,670,904",-17.92,-4.02,
50,강원랜드,"23,050",450,+1.99%,500,"49,313","213,940",25.42,"682,972",64.75,9.16,
51,한진칼,"82,500",200,+0.24%,"2,500","48,816","59,170",17.01,"169,684",-9.88,-17.56,
52,현대글로비스,"130,000","1,500",+1.17%,500,"48,750","37,500",33.93,"223,536",8.76,11.25,
53,SK케미칼,"401,000",500,-0.12%,"5,000","47,083","11,741",11.28,"565,064",172.25,1.51,
54,LG디스플레이,"13,150",0,0.00%,"5,000","47,053","357,816",21.47,"3,364,698",-1.59,-22.35,
55,아모레G,"56,200","1,100",+2.00%,500,"46,341","82,458",20.90,"236,274",50.68,4.12,
56,유한양행,"69,200","2,400",+3.59%,"1,000","46,265","66,857",21.46,"2,397,897",33.58,2.43,
57,한미사이언스,"62,600",400,+0.64%,500,"41,323","66,011",1.72,"1,056,495",132.07,4.73,
58,신풍제약,"76,900","1,300",+1.72%,500,"40,745","52,985",2.55,"1,736,458","1,708.89",0.80,
59,현대건설,"36,450","2,000",+5.81%,"5,000","40,589","111,356",22.16,"4,035,924",9.33,6.30,
60,맥쿼리인프라,"11,300",250,+2.26%,0,"39,442","349,044",19.45,"760,389",N/A,N/A,
61,현대중공업지주,"247,000","15,000",+6.47%,"5,000","39,023","15,799",18.90,"124,998",-31.44,2.20,
62,LG이노텍,"160,000",500,-0.31%,"5,000","37,867","23,667",33.01,"194,359",17.54,4.73,
63,한미약품,"319,500","5,000",-1.54%,"2,500","37,838","11,843",15.16,"236,233",80.66,7.30,
64,한국타이어앤테크놀로지,"30,350","1,000",+3.41%,500,"37,596","123,875",37.59,"692,237",9.55,6.03,
65,현대제철,"27,550",950,+3.57%,"5,000","36,764","133,446",18.73,"2,412,882",-17.33,0.10,
66,에스원,"95,300","5,200",+5.77%,500,"36,213","37,999",55.89,"76,834",25.08,11.32,
67,한국금융지주,"64,800","2,100",-3.14%,"5,000","36,110","55,726",33.77,"839,421",8.43,18.14,
68,삼성중공업,"5,690",240,+4.40%,"5,000","35,847","630,000",15.73,"9,822,660",-2.50,-21.88,
69,CJ대한통운,"154,500","4,500",+3.00%,"5,000","35,245","22,812",20.43,"136,598",49.98,1.41,
70,녹십자,"301,500","10,500",+3.61%,"5,000","35,235","11,687",18.19,"480,566",-272.60,-0.35,
71,DB손해보험,"48,700","4,350",+9.81%,500,"34,480","70,800",39.57,"472,186",7.54,6.92,
72,이마트,"122,000","1,000",+0.83%,"5,000","34,008","27,876",30.23,"523,860",15.83,2.76,
73,삼성카드,"29,350",100,+0.34%,"5,000","34,005","115,859",9.70,"210,330",10.12,5.04,
74,현대차2우B,"92,000","3,000",+3.37%,"5,000","33,567","36,485",62.50,"406,957",9.75,N/A,
75,롯데지주,"31,450",800,+2.61%,200,"32,994","104,909",11.53,"321,923",-6.16,-5.21,
76,GS,"35,500",500,+1.43%,"5,000","32,985","92,915",21.31,"692,432",68.80,6.26,
77,SKC,"87,800",800,+0.92%,"5,000","32,955","37,535",8.22,"593,613",27.50,3.86,
78,대한항공,"18,900",150,+0.80%,"5,000","32,926","174,210",12.21,"3,584,198",-1.69,-22.09,
79,LG화학우,"416,000","1,000",+0.24%,"5,000","31,985","7,689",56.54,"226,883",232.66,N/A,
80,하이트진로,"44,800",500,+1.13%,"5,000","31,420","70,134",10.55,"470,265",649.28,-3.86,
81,대림산업,"87,300","1,500",+1.75%,"5,000","30,380","34,800",40.44,"344,542",5.24,11.74,
82,더존비즈온,"100,500",0,0.00%,500,"29,821","29,673",45.78,"54,068",62.27,18.78,
83,금호석유,"96,000","1,200",-1.23%,"5,000","29,249","30,468",32.71,"294,552",10.43,11.84,
84,삼성증권,"32,650",350,-1.06%,"5,000","29,156","89,300",24.77,"1,358,510",10.05,8.15,
85,호텔신라,"72,500","1,300",+1.83%,"5,000","28,455","39,248",21.36,"753,219",65.55,20.16,
86,두산밥캣,"28,150",850,+3.11%,500,"28,220","100,249",22.84,"683,781",11.90,7.05,
87,쌍용양회,"5,600",130,+2.38%,"1,000","28,216","503,860",3.01,"3,997,401",20.59,7.02,
88,TIGER 200,"32,115",430,+1.36%,0,"27,956","87,050",6.52,"2,254,233",N/A,N/A,
89,대우조선해양,"25,650","2,050",+8.69%,"5,000","27,498","107,206",9.49,"1,196,979","3,206.25",-1.22,
90,NH투자증권,"9,540",60,+0.63%,"5,000","26,846","281,409",13.43,"3,084,452",8.51,9.12,
91,KODEX 레버리지,"15,840",420,+2.72%,0,"26,611","168,000",2.31,"62,895,522",N/A,N/A,
92,GS리테일,"33,850",500,+1.50%,"1,000","26,064","77,000",17.42,"257,114",14.45,6.25,
93,두산퓨얼셀,"46,750",900,-1.89%,100,"25,943","55,494",4.67,"1,910,365",71.27,N/A,
94,키움증권,"117,000","1,000",-0.85%,"5,000","25,857","22,100",23.96,"295,758",13.86,16.97,
95,일진머티리얼즈,"55,400",900,-1.60%,500,"25,545","46,111",9.04,"610,655",48.34,8.52,
96,부광약품,"38,150",0,0.00%,500,"24,736","64,838",5.94,"1,812,538",-229.82,-2.00,
97,한국항공우주,"25,100",950,+3.93%,"5,000","24,466","97,475",14.80,"1,111,311",11.81,15.84,
98,CJ,"83,500","1,100",+1.33%,"5,000","24,363","29,177",18.59,"108,672",8.02,6.24,
99,한샘,"103,000","2,500",-2.37%,"1,000","24,240","23,534",25.27,"105,214",57.13,7.32,
100,삼성엔지니어링,"12,350",350,+2.92%,"5,000","24,206","196,000",30.97,"3,315,494",9.22,24.62,
101,한국가스공사,"25,700","1,000",+4.05%,"5,000","23,724","92,313",9.22,"479,144",52.24,0.48,
102,메리츠증권,"3,455",45,-1.29%,"1,000","23,354","675,962",12.53,"9,100,417",4.77,15.06,
103,BGF리테일,"133,000",500,+0.38%,"1,000","22,988","17,284",32.37,"44,206",16.14,26.46,
104,두산중공업,"9,050",200,-2.16%,"5,000","22,909","253,141",7.58,"3,581,306",-2.33,-14.73,
105,농심,"374,000","1,500",+0.40%,"5,000","22,749","6,083",19.40,"32,097",25.08,3.72,
106,롯데쇼핑,"80,400",500,+0.63%,"5,000","22,744","28,289",11.64,"202,418",-2.13,-8.14,
107,KODEX 200선물인버스2X,"4,000",110,-2.68%,0,"22,440","561,000",1.81,"176,358,160",N/A,N/A,
108,GS건설,"27,950","1,000",+3.71%,"5,000","22,387","80,098",29.49,"1,416,886",5.03,11.79,
109,현대차우,"91,400","2,400",+2.70%,"5,000","22,262","24,357",56.11,"535,233",9.68,N/A,
110,HMM,"6,800",100,+1.49%,"5,000","22,217","326,726",9.03,"3,978,047",-4.53,-55.46,
111,대웅,"36,800","1,100",-2.90%,500,"21,396","58,142",7.00,"13,371,834",32.42,10.43,
112,제일기획,"18,550",200,+1.09%,200,"21,340","115,041",29.37,"507,905",15.33,15.09,
113,동서,"21,400",200,+0.94%,500,"21,336","99,700",5.82,"174,171",15.69,10.53,
114,오뚜기,"590,000","17,000",+2.97%,"5,000","21,271","3,605",17.43,"13,485",18.41,7.79,
115,현대해상,"23,500","1,400",+6.33%,500,"21,009","89,400",40.09,"500,237",7.48,6.23,
116,신세계,"212,000","3,000",+1.44%,"5,000","20,872","9,845",28.75,"124,390",-14.74,14.24,
